loan_id,borrower_id,segment,country,origination_date,maturity_date,currency,interest_rate,pd_1y,lgd,ead,collateral_value,ltv,is_default,default_date,days_past_due,provision_amount,internal_rating
1,45,SME,ES,2023-06-02,2025-06-01,USD,0.046409036755622794,0.1323125554447932,0.6330999027421276,119107.26907191258,0.0,,1,2023-11-04,307,11580.463183653186,BB/B
2,387,Corporate,ES,2020-10-17,2021-10-17,EUR,0.04046671671487313,0.08928920534357651,0.6061878287064189,19709.39297447643,23365.853954837803,0.8435126322612181,0,,14,1205.1391324913911,BB/B
3,328,Corporate,NL,2024-10-29,2030-10-28,EUR,0.041497991383827024,0.14351905529970124,0.6569344105914683,17260.08340708338,53483.68475739166,0.3227167964469383,0,,13,1478.3070856185382,BB/B
4,220,SME,NL,2022-10-10,2029-10-08,EUR,0.05350325167489582,0.04297062346299388,0.6761532543407294,84763.94049342947,103108.31149856011,0.8220863988701161,0,,24,2447.548373467175,BBB
5,217,SME,ES,2021-01-01,2027-12-31,EUR,0.052498361944509936,0.15843621056157287,0.4459139553899545,11724.466991370675,0.0,,0,,11,764.7555373335515,BB/B
6,430,SME,FR,2020-03-29,2029-03-27,EUR,0.04238184544861715,0.06889267744913606,0.24835181117483357,30341.697200214123,44774.325043715115,0.6776583939699863,0,,10,603.5758084832119,BB/B
7,43,Retail,IT,2023-10-01,2028-09-29,EUR,0.028815372506369896,0.025537218405377725,0.6000355036548943,10691.083721455409,17106.30749155927,0.6249790451113245,0,,20,156.14328554377292,BBB
8,349,Corporate,IT,2021-10-02,2029-09-30,EUR,0.03625586060999686,0.0476664057670355,0.5167159642033141,273548.93752101867,850726.9658509671,0.3215472748620264,0,,0,6457.3712109842,BBB
9,101,Retail,ES,2024-01-21,2031-01-19,EUR,0.03841817288419278,0.013066648863538304,0.39025859511480077,221605.60275515594,0.0,,0,,22,1316.2417943161122,A
10,48,Retail,NL,2024-06-04,2027-06-04,EUR,0.03674351936819928,0.024168537217105476,0.6877665763119436,19727.30545167374,0.0,,0,,0,341.12098010761997,BBB
11,264,Retail,FR,2023-03-29,2031-03-27,EUR,0.041106876269881146,0.06178812774691476,0.3693426013518182,37043.83327312428,89917.35160963298,0.41197647183767494,0,,7,722.9222085557607,BB/B
12,488,Corporate,IT,2020-07-31,2021-07-31,USD,0.033823390260617744,0.012491085269675274,0.653816989333051,22141.297415107536,32362.15844519539,0.6841724556970865,0,,14,189.9402207841691,A
13,368,Retail,DE,2021-07-23,2027-07-22,EUR,0.041615416289689504,0.02320157626879776,0.496292224029321,15543.541777939663,34918.36775796273,0.44513941446748,0,,5,200.06030682734323,BBB
14,381,Retail,ES,2022-07-24,2031-07-22,EUR,0.038419375640157565,0.018693218910339524,0.21832099203794236,24825.620885792836,34130.82514425957,0.7273665603120711,0,,1,94.74465093943053,A
15,359,Retail,IT,2023-08-04,2029-08-02,EUR,0.03449189085212869,0.05847651805814326,0.630167554040074,21150.07149353175,58596.120867197955,0.3609466152455074,0,,12,787.799262758359,BB/B
16,394,Retail,IT,2024-04-18,2033-04-16,EUR,0.04332916548903358,0.041204370823682106,0.5811059876276504,4814.2357676924585,7416.409861396303,0.6491329170939417,0,,21,121.12111542510576,BBB
17,257,Retail,IT,2023-08-26,2024-08-25,USD,0.04006256879710765,0.034052999326407096,0.521243773164696,28653.283461598305,69404.43760703123,0.4128451212850905,0,,7,510.7124617982097,BBB
18,65,SME,FR,2024-03-29,2029-03-28,EUR,0.05785791909104544,0.04177349903208844,0.5072935700384857,21114.327711622136,0.0,,0,,8,536.7746000505211,BBB
19,420,Retail,IT,2024-01-26,2032-01-24,EUR,0.04395037774736116,0.01023673243445858,0.3094177463279515,30097.59227378999,0.0,,0,,20,95.59094681338513,A
20,226,Corporate,ES,2021-07-27,2027-07-26,EUR,0.03858312204414903,0.01976813587698409,0.3072430645996724,20383.524321746456,23520.66404051416,0.866621974899858,1,2022-02-18,337,130.90177078176862,A
